Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
1988-07-01,-0.8038,-1.2096,-1.1142,-0.1898,-0.5922,-1.0457
1988-08-01,-3.2405,-2.023,-2.9376,-1.0214,-2.9783,-2.9605
1988-09-01,1.7196,3.4192,2.9593,3.2775,3.1054,5.5557
1988-10-01,-1.4004,-0.1279,-0.8652,0.4914,2.4745,2.5509
1988-11-01,-3.1038,-2.4586,-3.4981,-1.4935,-1.3544,-1.6686
1988-12-01,3.9915,3.5338,4.0774,0.9603,1.9303,2.2632
1989-01-01,5.8921,4.2484,3.8193,7.0009,6.4849,7.1767
1989-02-01,0.851,1.2524,0.3045,-0.8156,-2.4618,-2.01
1989-03-01,3.0446,2.9685,2.6686,2.5737,1.2344,3.0408
1989-04-01,3.9109,4.5074,5.2375,5.3998,4.8618,5.4995
1989-05-01,3.8858,4.047,4.7959,4.2767,3.9295,4.337
1989-06-01,-2.6807,-1.03,-1.6543,-0.5063,0.0326,-0.9918
1989-07-01,3.5331,4.5338,4.2784,6.2867,8.0471,9.508
1989-08-01,2.2682,2.2131,3.6761,2.7695,1.8086,2.1345
1989-09-01,-0.5259,0.7525,1.1772,-0.5178,-0.7685,0.5821
1989-10-01,-5.9933,-5.3723,-5.2918,-2.392,-2.0967,-2.8684
1989-11-01,0.3416,1.0594,0.5185,2.8188,2.4888,0.9301
1989-12-01,-0.3371,0.1094,0.0742,1.6452,3.274,1.0899
1990-01-01,-7.7719,-8.1288,-9.6623,-6.9354,-6.833,-7.3779
1990-02-01,2.8937,2.5705,3.0871,1.6453,1.5388,1.384
1990-03-01,2.9784,4.0753,4.6307,0.6825,2.0494,3.1081
1990-04-01,-3.3345,-3.1609,-2.9383,-4.807,-2.8953,-1.6523
1990-05-01,6.3358,7.1802,7.8293,8.559,8.7913,10.2137
1990-06-01,1.6003,0.7803,-0.2234,0.2551,-1.4726,0.0089
1990-07-01,-4.3182,-3.2715,-4.2021,-1.1788,0.1078,-1.6478
1990-08-01,-13.6141,-11.6598,-14.4163,-9.5025,-8.5669,-9.407
1990-09-01,-9.3516,-7.8651,-10.2539,-6.8613,-3.6886,-5.8447
1990-10-01,-7.9377,-4.5775,-5.1212,-2.8609,-0.773,0.2707
1990-11-01,5.7674,7.5132,8.4751,8.5126,6.187,7.1143
1990-12-01,1.4863,3.9927,5.4626,2.3544,2.3538,3.8371
1991-01-01,8.1517,8.5323,9.6383,4.7002,3.9147,5.7703
1991-02-01,12.4667,9.5933,11.2829,7.3675,6.2404,8.1543
1991-03-01,7.5768,6.1986,6.3259,3.4393,1.6141,3.6216
1991-04-01,-0.1172,0.9836,1.0796,0.4208,-0.0954,0.4643
1991-05-01,3.241,4.1816,4.9768,2.8164,3.3662,5.0876
1991-06-01,-5.5896,-4.1938,-3.3004,-5.6404,-4.4515,-4.3482
1991-07-01,3.2921,3.4803,4.729,3.8472,3.9213,5.6187
1991-08-01,4.6399,3.0343,4.1489,1.7184,1.2007,3.8896
1991-09-01,1.2911,0.3282,-0.2854,-0.0565,-0.5574,-2.1186
1991-10-01,4.3681,2.1389,2.0244,2.5845,1.2055,1.5299
1991-11-01,-6.0869,-3.7155,-4.2694,-3.3731,-4.5448,-2.9671
1991-12-01,7.5201,8.0972,10.0719,8.3581,10.3128,12.9148
1992-01-01,9.7921,7.0705,8.1967,-0.4887,-1.4877,-1.5375
1992-02-01,2.4254,2.1006,4.2569,2.2263,1.732,0.5459
1992-03-01,-3.9873,-1.9754,-3.8289,-2.0249,-1.9728,-2.2084
1992-04-01,-5.7167,-1.9217,-2.7928,1.121,3.61,1.5796
1992-05-01,1.5866,0.768,-0.8815,0.2002,0.5174,0.7761
1992-06-01,-4.7726,-3.5937,-4.3658,-2.3156,0.0301,-2.8223
1992-07-01,2.7855,3.4169,4.0132,2.9648,4.3615,4.3333
1992-08-01,-5.4209,-2.2558,-1.5049,-4.9227,-1.9689,-1.4051
1992-09-01,0.0655,2.4008,3.0754,1.2447,0.9113,1.5245
1992-10-01,2.6517,2.9166,4.3884,1.1809,-0.4923,1.9174
1992-11-01,8.803,7.1569,8.4197,5.4639,2.3491,4.4785
1992-12-01,2.6233,3.772,3.6374,3.5164,1.0387,1.534
1993-01-01,2.6633,3.8321,3.4264,4.3049,1.0569,-0.1475
1993-02-01,-3.5291,-1.8464,-2.6079,1.1647,2.9262,-0.593
