SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
-0.038554,-0.039344000000000004,-0.058909,-0.044511,-0.07101600000000001,-0.089255
-0.079805,-0.08167999999999999,-0.08431699999999999,-0.08837999999999999,-0.082544,-0.08949199999999999
-0.07890799999999999,-0.075582,-0.104518,-0.07930100000000001,-0.084792,-0.142508
0.100138,0.087563,0.10264799999999999,0.17744,0.182104,0.17082799999999998
-0.038079,-0.0479,-0.058978,-0.00379,-0.035045,-0.050196
-0.065067,-0.058261,-0.075224,-0.032357,-0.004151,-0.035859
0.275875,0.260254,0.277177,0.14897,0.12076,0.132154
0.064347,0.036738,0.037919999999999995,0.040237999999999996,0.035541,0.089931
0.061769,0.064621,0.09907,0.035607,0.031437,0.023426999999999996
0.036369,0.04188,0.049139,0.043343,0.03667,0.05881
0.08976200000000001,0.07143,0.075863,0.056914,0.058196000000000005,0.051196
0.081736,0.067373,0.064902,0.07386,0.059554,0.037468
-0.033708,-0.018765,-0.025283000000000003,-0.070631,-0.058854,-0.069884
-0.05787,-0.042049,-0.050796,-0.030098,-0.023193000000000002,-0.015036
-0.04043,-0.032104,-0.037006000000000004,-0.042712,-0.035844999999999995,-0.035494
0.019794,0.019884,0.029557000000000003,0.072495,0.074242,0.052865999999999996
0.015215000000000001,0.029553,0.02415,0.048490000000000005,0.031974,0.026001
-0.006876999999999999,-0.008273,-0.010067999999999999,-0.015224999999999999,-0.007053,-0.013912
0.22087299999999999,0.17677800000000002,0.18188400000000002,0.11660500000000001,0.122535,0.119854
0.107835,0.074449,0.08316000000000001,0.0165,-0.000364,-0.011568
0.020231,0.010407,0.015705,0.03765,0.019604,0.035512
-0.015635,-0.005057000000000001,-0.013937,-0.023914,0.001066,-0.017673
-0.031768,-0.019254,-0.015366999999999999,-0.027692,-0.017401,0.005175
0.044640000000000006,0.035424000000000004,0.036231,0.053507,0.041388,0.048269
0.000707,0.012433000000000001,-0.007869000000000001,0.002994,-0.007718,-0.00936
-0.028976000000000002,-0.009303,-0.025266,0.008482,0.0021349999999999997,-0.003528
0.020198999999999998,0.026265,0.033062999999999995,0.020443,0.025729000000000002,0.027176999999999996
-0.02544,-0.014316,-0.022757999999999997,-0.019737,-0.013347,-0.026248999999999998
0.040222,0.029756,0.036548,0.021359,0.007587,-0.0031
0.10499399999999999,0.09439199999999999,0.095107,0.057238,0.056509000000000004,0.054948
0.024891,0.024929999999999997,0.016483,-0.047914000000000005,-0.036801,-0.049702
-0.006563,-0.00633,-0.008874,-0.017697,-0.015801,-0.018591
0.000582,0.003676,0.006029,-0.0024879999999999998,-0.014289000000000001,-0.013977999999999999
0.017068,0.018394999999999998,0.012485999999999999,0.028235,0.005717,-0.00746
-0.0022370000000000003,0.003142,0.000946,-0.018776,-0.005976,-0.015432999999999999
0.072489,0.057553,0.073922,0.040704000000000004,0.042519,0.057470999999999994
-0.004877,0.005381,0.00387,-0.020509,-0.012413,-0.014686999999999999
-0.014087,-0.004524,-0.001168,-0.018701000000000002,-0.014291,-0.011966000000000001
0.0032240000000000003,0.009399999999999999,0.020255000000000002,-0.012294000000000001,0.0053029999999999996,-0.0006450000000000001
-0.030861,-0.013244,-0.031821,-0.036048,-0.045856,-0.039054000000000005
0.074672,0.076857,0.084559,0.046686,0.045759,0.034183
0.018918,0.017518,0.025886,-0.003332,0.004993,0.008128
-0.01764,-0.025480999999999997,-0.042234999999999995,-0.053784,-0.056011,-0.06360400000000001
0.01934,0.019320999999999998,0.027886,-0.017661,-0.005565,-0.020255000000000002
