This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202412 CRSP database.,,,,,,
It contains value- and equal-weighted returns for portfolios formed on ME and OP.,,,,,,
,,,,,,
The portfolios are constructed at the end of June.  OP is operating profits (sales - cost,,,,,,
of goods sold - selling, general and administrative expenses - interest expense) divided by book,,,,,
at the last fiscal year end of the prior calendar year.,,,,,,
Annual returns are from January to December.,,,,,,
,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,
,,,,,,
Please be aware that some of the value-weight averages of operating profitability for,,,,,,
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for,,,,,,
individual firms. We have spot checked the accounting data that produce the,,,,,,
extraordinary values and all the numbers we examined accurately reflect the,,,,,,
data in the firm�s accounting statements.,,,,,,
,,,,,,
The break points include utilities and include financials.,,,,,,
,,,,,,
The  portfolios  include utilities and include financials.,,,,,,
,,,,,,
,,,,,,
  Average Value Weighted Returns -- Monthly,,,,,,
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
196510,6.8061,5.7328,6.8631,2.265,1.1279,4.5402
196511,6.5577,4.0808,4.6394,0.6655,-1.0275,0.5709
196512,5.0539,3.4544,3.9607,1.73,1.1129,0.5371
196601,7.6528,5.3797,4.0856,3.2251,-0.9782,1.1506
196602,4.8632,2.1992,2.9811,-1.9921,-1.9284,-0.4522
196603,-2.4865,-1.5147,-2.188,-3.2641,-2.6194,-0.9538
196604,5.7784,4.5208,6.1361,1.837,2.1722,2.2666
196605,-11.4132,-9.3222,-9.4324,-6.0374,-4.2175,-4.7387
196606,-0.2114,1.0944,0.4475,-1.2855,-0.7882,-1.6364
196607,-1.7679,-0.9652,-2.1101,-0.9265,-1.2022,-1.3023
196608,-10.7403,-9.8296,-10.3221,-7.4928,-6.1374,-8.0817
196609,-1.7476,-1.6499,-1.53,1.9621,-0.3337,-1.6117
196610,-0.8492,-0.3405,-2.5596,7.4199,6.6267,2.1768
196611,2.9833,3.1783,7.5415,0.8865,-1.3602,4.5951
196612,1.5161,2.2689,3.0037,-0.0467,0.8509,-0.1319
196701,17.491,14.8565,18.9246,7.9573,6.59,8.4379
196702,3.3873,2.6646,4.2685,-0.7067,-0.1925,2.3859
196703,5.9219,6.6169,6.4187,3.6936,3.7574,4.914
196704,4.0644,3.9483,5.3229,3.095,2.4865,6.5019
196705,-1.0195,-1.3377,-2.1952,-3.0362,-4.0087,-5.328
196706,9.6016,7.4997,8.8093,2.2739,1.6886,1.8288
196707,9.2371,7.6297,7.7058,2.6513,5.0613,5.1456
196708,-0.5607,0.4503,0.3634,-0.5508,-0.7947,-0.8824
196709,6.221,4.7026,5.9459,3.7261,1.758,4.4052
196710,-2.1006,-2.1947,-2.8617,-3.4843,-4.0345,-0.7108
196711,-0.507,0.2073,1.646,0.0135,1.3017,0.5452
196712,10.1742,6.7453,8.657,2.3621,3.4285,2.2503
196801,2.9461,-0.1534,-0.406,-0.9376,-3.1466,-6.8213
196802,-5.9882,-4.9371,-6.332,-2.9683,-2.7371,-2.9394
196803,-0.2643,-1.9391,-0.9386,-0.2585,-0.7442,2.5144
196804,16.0024,11.6915,16.8045,6.2875,7.3012,10.8723
196805,9.4858,8.2333,8.9319,1.1145,0.8323,2.5365
196806,0.4918,1.2984,0.652,2.4992,2.2526,-0.486
196807,-2.3978,-3.0486,-4.7351,-0.3609,-0.2654,-4.2916
196808,4.2007,3.0671,4.2368,2.5001,1.3537,1.0637
196809,8.3347,5.7266,7.5312,6.3022,3.7134,3.1258
196810,0.3298,1.1499,0.7465,2.293,1.8396,-0.7571
196811,7.732,7.7652,7.8609,5.143,5.4759,5.8829
196812,1.5561,-1.327,-0.7596,-3.316,-3.7291,-4.729
196901,-0.7597,-0.8084,-2.2233,-0.3487,0.2002,-1.9833
196902,-10.6818,-7.6642,-8.4765,-5.837,-4.6556,-3.9048
196903,3.826,2.3558,2.5674,4.864,2.7348,3.2725
196904,1.8784,1.0912,0.5868,0.7705,2.2676,2.8725
196905,0.504,0.5749,-0.5857,0.5967,0.8137,-0.2114
196906,-12.6853,-10.9501,-10.7659,-9.6908,-6.4038,-2.9625
196907,-10.3218,-8.6737,-10.1704,-7.9078,-5.9811,-5.1023
196908,5.2129,4.6643,7.496,5.4928,4.3247,5.4789
196909,-2.1793,-1.8347,-0.2506,-5.5601,-3.0024,-0.7178
196910,9.9548,8.7436,9.4069,5.1483,4.6797,5.7866
196911,-5.5487,-5.6369,-5.041,-4.7477,-2.8925,-2.343
196912,-7.1503,-5.5123,-3.1498,-1.6814,-2.1315,-0.5983
197001,-2.5086,-5.4018,-6.471,-8.5528,-7.1624,-8.0231
197002,3.0771,3.9155,3.1004,8.8031,6.9487,4.1988
197003,-2.7481,-1.479,-4.0219,-0.1932,0.8666,-0.9172
197004,-17.0386,-14.5664,-17.5565,-9.0387,-9.3362,-9.7975
197005,-10.8505,-9.6092,-10.0646,-4.1504,-4.6846,-7.3474
197006,-8.1854,-6.9265,-6.812,-3.9914,-5.0776,-5.1124
197007,5.4608,6.9849,8.4096,8.5383,9.4407,5.0788
197008,6.3246,6.4707,6.9946,4.8096,4.5487,5.2648
197009,14.0669,11.3691,13.2037,3.9374,2.1179,5.405
197010,-7.8118,-5.1416,-5.3542,-1.7997,-1.4919,-0.8336
197011,-0.3179,2.059,2.4516,5.0099,5.7448,5.3725
197012,8.1457,9.0719,9.1304,6.0963,6.2321,5.6466
197101,13.8562,11.8428,10.4257,4.527,4.5339,3.9683
197102,3.8686,3.0825,4.7754,1.6906,0.8842,2.0164
197103,5.5839,5.8492,7.7519,3.6728,3.3693,5.1365
197104,4.5493,3.2415,2.6503,4.6944,2.8388,3.6526
197105,-5.3074,-4.9441,-4.0083,-5.0061,-3.0574,-3.5113
197106,-2.4274,-1.4862,0.5337,-0.1343,1.0755,-0.0376
197107,-6.5324,-4.9431,-5.5362,-4.4751,-3.7243,-4.1925
197108,5.0711,4.3453,4.7611,5.3349,3.376,4.7874
197109,-2.3136,0.207,0.9026,-1.6024,-0.8066,0.2955
197110,-7.3127,-3.9897,-5.486,-4.6252,-4.0787,-3.2143
197111,-4.0037,-2.6088,-2.4038,-1.9408,-0.1147,1.3312
197112,12.4495,11.6676,12.5713,10.2405,8.0027,9.3144
197201,11.8256,6.7295,7.5767,2.659,0.4858,3.5333
197202,3.8002,3.0306,4.1338,1.7203,2.1377,4.6097
197203,0.22,-0.1719,1.0161,-0.747,0.5959,1.7225
197204,0.6243,0.9598,0.6138,1.6778,-0.136,0.8475
197205,-2.8316,-1.3523,-1.4336,0.2266,0.8987,3.5084
197206,-3.2275,-3.318,-2.9899,-4.1301,-2.7984,-0.5986
197207,-2.9124,-2.8669,-4.8963,-3.1763,-0.7785,1.0785
197208,1.1698,1.5312,0.6006,5.8291,4.9142,2.4779
197209,-4.2734,-2.8144,-2.4089,-1.9025,-0.2404,-0.409
197210,-1.8183,-0.6745,-1.8399,0.9591,1.9622,0.6738
197211,5.326,5.1648,5.7328,7.6144,6.3763,3.3105
197212,-2.3297,-0.8852,-1.2562,-1.7675,0.7853,2.3684
197301,-4.7364,-5.2969,-5.7293,-3.3401,-3.0551,-1.5117
197302,-7.3257,-7.4087,-9.9716,-5.106,-4.8706,-2.973
197303,-1.8272,-2.7465,-3.2605,0.2733,-0.4612,-0.4301
197304,-5.945,-5.8009,-8.7439,-4.9125,-2.7456,-5.2646
197305,-8.9746,-7.571,-8.381,-4.3104,-1.4082,-1.0062
197306,-2.8448,-3.0055,-4.8642,-1.7391,-1.5071,-0.1328
197307,13.3993,9.4932,15.8246,7.2181,4.6574,4.6842
197308,-3.8915,-4.471,-4.7677,-1.6515,-2.8942,-3.3893
197309,9.4974,9.5618,10.202,7.7804,7.9988,2.4155
197310,1.3403,0.1491,-2.6704,-0.0093,-0.6438,0.2101
197311,-17.6091,-17.967,-21.9206,-10.4207,-12.5221,-11.3628
197312,-1.4883,-2.2363,-2.3018,4.3755,3.8384,-0.3688
197401,12.2197,9.8608,8.8367,1.1794,0.1297,-1.5704
197402,1.4597,0.2406,0.3115,1.2641,1.6595,-1.3259
197403,-0.394,-0.2791,0.4404,-5.9201,-2.6816,-1.1532
197404,-6.3835,-4.8868,-4.8283,-7.3316,-4.8519,-3.1386
197405,-8.1832,-7.4072,-6.3156,-9.6598,-3.5042,-1.6285
197406,-2.5035,-1.8014,-2.7235,-2.9723,-2.2165,-1.6134
197407,-3.8554,-3.9344,-5.8909,-4.4511,-7.1016,-8.9255
197408,-7.9805,-8.168,-8.4317,-8.838,-8.2544,-8.9492
197409,-7.8908,-7.5582,-10.4518,-7.9301,-8.4792,-14.2508
197410,10.0138,8.7563,10.2648,17.744,18.2104,17.0828
197411,-3.8079,-4.79,-5.8978,-0.379,-3.5045,-5.0196
197412,-6.5067,-5.8261,-7.5224,-3.2357,-0.4151,-3.5859
197501,27.5875,26.0254,27.7177,14.897,12.076,13.2154
197502,6.4347,3.6738,3.792,4.0238,3.5541,8.9931
197503,6.1769,6.4621,9.907,3.5607,3.1437,2.3427
197504,3.6369,4.188,4.9139,4.3343,3.667,5.881
197505,8.9762,7.143,7.5863,5.6914,5.8196,5.1196
197506,8.1736,6.7373,6.4902,7.386,5.9554,3.7468
197507,-3.3708,-1.8765,-2.5283,-7.0631,-5.8854,-6.9884
197508,-5.787,-4.2049,-5.0796,-3.0098,-2.3193,-1.5036
197509,-4.043,-3.2104,-3.7006,-4.2712,-3.5845,-3.5494
197510,1.9794,1.9884,2.9557,7.2495,7.4242,5.2866
197511,1.5215,2.9553,2.415,4.849,3.1974,2.6001
197512,-0.6877,-0.8273,-1.0068,-1.5225,-0.7053,-1.3912
197601,22.0873,17.6778,18.1884,11.6605,12.2535,11.9854
197602,10.7835,7.4449,8.316,1.65,-0.0364,-1.1568
197603,2.0231,1.0407,1.5705,3.765,1.9604,3.5512
197604,-1.5635,-0.5057,-1.3937,-2.3914,0.1066,-1.7673
197605,-3.1768,-1.9254,-1.5367,-2.7692,-1.7401,0.5175
197606,4.464,3.5424,3.6231,5.3507,4.1388,4.8269
197607,0.0707,1.2433,-0.7869,0.2994,-0.7718,-0.936
197608,-2.8976,-0.9303,-2.5266,0.8482,0.2135,-0.3528
197609,2.0199,2.6265,3.3063,2.0443,2.5729,2.7177
197610,-2.544,-1.4316,-2.2758,-1.9737,-1.3347,-2.6249
197611,4.0222,2.9756,3.6548,2.1359,0.7587,-0.31
197612,10.4994,9.4392,9.5107,5.7238,5.6509,5.4948
197701,2.4891,2.493,1.6483,-4.7914,-3.6801,-4.9702
197702,-0.6563,-0.633,-0.8874,-1.7697,-1.5801,-1.8591
197703,0.0582,0.3676,0.6029,-0.2488,-1.4289,-1.3978
197704,1.7068,1.8395,1.2486,2.8235,0.5717,-0.746
197705,-0.2237,0.3142,0.0946,-1.8776,-0.5976,-1.5433
197706,7.2489,5.7553,7.3922,4.0704,4.2519,5.7471
197707,-0.4877,0.5381,0.387,-2.0509,-1.2413,-1.4687
197708,-1.4087,-0.4524,-0.1168,-1.8701,-1.4291,-1.1966
197709,0.3224,0.94,2.0255,-1.2294,0.5303,-0.0645
197710,-3.0861,-1.3244,-3.1821,-3.6048,-4.5856,-3.9054
197711,7.4672,7.6857,8.4559,4.6686,4.5759,3.4183
197712,1.8918,1.7518,2.5886,-0.3332,0.4993,0.8128
197801,-1.764,-2.5481,-4.2235,-5.3784,-5.6011,-6.3604
197802,1.934,1.9321,2.7886,-1.7661,-0.5565,-2.0255
197803,7.0932,6.4212,6.9387,3.1663,3.7505,2.1333
197804,7.1172,7.5019,9.5883,6.9988,7.5607,10.1408
197805,6.7735,5.1502,7.3408,1.7708,1.5365,1.6439
197806,1.3129,0.0742,-0.5715,-1.0953,-0.835,-2.0083
197807,4.9418,5.1224,7.3548,5.2535,5.59,5.9468
197808,8.995,7.5046,9.3109,2.129,3.4738,4.6706
197809,-0.8456,-0.478,-1.8893,-0.524,-0.9164,-0.8204
197810,-20.8286,-18.0691,-21.9357,-10.7968,-9.6879,-9.4495
197811,4.8052,5.3817,7.7483,3.5348,3.1154,2.8569
197812,2.2227,2.1112,2.7364,-0.5579,0.9633,2.9476
197901,9.8215,7.5812,8.6706,7.3513,4.3116,3.5686
197902,-1.5655,-2.0721,-3.8436,-3.1993,-2.8488,-3.1632
197903,9.5607,8.5389,10.5233,6.3142,5.3453,6.4157
197904,3.1755,2.3317,2.4636,-1.7246,0.5127,1.1454
197905,-0.128,-1.7144,-1.9864,-0.6091,-1.607,-1.8228
197906,6.3237,5.9814,5.0592,5.9888,4.2918,3.9425
197907,2.2269,3.5507,3.1157,2.1788,1.7624,0.7093
197908,7.7268,7.2627,9.1526,4.4635,6.5676,6.2755
197909,-0.493,-0.4684,-0.082,-1.0338,-0.185,0.5723
197910,-10.4059,-10.1496,-10.1707,-7.8989,-6.7042,-6.1149
197911,8.9671,6.9144,9.8612,6.3585,5.6491,5.5896
197912,7.8525,5.6437,6.5066,2.0385,2.1587,1.9932
198001,10.908,6.9163,7.1767,6.1047,5.3767,6.4366
198002,-0.4835,-2.6796,-1.8784,-0.8753,-1.0898,0.5938
198003,-19.719,-16.1861,-17.755,-11.731,-9.2739,-10.7692
198004,6.9899,6.0213,5.6736,6.7785,5.0053,3.8978
198005,7.3836,7.9674,8.5422,5.9282,5.8242,5.456
198006,4.5266,4.4959,4.7492,3.9563,2.5356,3.4387
198007,8.896,9.1625,13.1301,4.1272,6.3207,8.0108
198008,4.9567,5.8473,7.3085,-0.047,2.4731,1.7267
198009,2.9987,2.4575,5.1281,1.7301,2.9189,3.4133
198010,4.3572,3.6361,4.3205,-0.1426,1.2187,3.203
198011,7.6597,6.097,8.9193,4.934,12.1908,12.6692
198012,-4.5883,-1.655,-3.77,-0.7516,-2.6228,-4.1426
198101,-0.889,0.073,-2.0746,-0.4769,-4.2834,-6.3207
198102,0.8123,1.6367,0.9721,1.0501,3.0289,1.3117
198103,7.0945,7.1851,8.8106,8.484,4.0547,2.2889
198104,1.8236,2.5785,4.8184,-1.146,-1.0631,-2.4851
198105,2.8029,2.8997,4.7682,1.8035,0.5516,0.4407
198106,-1.7742,-0.5225,-3.2578,0.6421,-1.2095,-0.6134
198107,-1.8542,-2.0281,-3.0966,-2.0074,-0.7128,1.7519
198108,-8.1051,-6.0156,-8.7093,-5.9773,-5.0542,-6.0179
198109,-9.8979,-6.6984,-7.755,-4.6483,-4.4673,-6.6229
198110,7.5807,7.0687,9.8664,2.95,5.8339,6.9545
198111,1.1406,4.2695,3.0992,6.1362,4.0568,4.3469
198112,-2.343,-1.5123,-1.5666,-3.155,-2.219,-3.4949
198201,-2.85,-2.772,-4.3586,-0.833,-2.4788,-2.3052
198202,-3.682,-3.4901,-5.6629,-1.202,-5.0538,-6.1781
198203,-0.8977,-0.0259,-1.3849,0.7983,-0.5755,-1.479
198204,4.6932,5.2803,6.6524,3.9508,3.6129,5.1217
198205,-2.6891,-2.134,-2.6621,-3.7782,-3.2757,-2.0696
198206,-3.0546,-2.0885,-2.4248,-1.1171,-2.309,-1.7351
198207,-2.1973,-1.4976,-0.7533,-2.6721,-2.1668,-2.0417
198208,7.8047,8.2242,8.6603,15.2951,12.77,10.6516
198209,2.4769,4.6098,4.5875,0.6562,0.8599,2.8302
198210,14.0348,12.5136,15.3157,12.1931,11.2664,11.4887
198211,10.3736,8.2812,9.3166,5.6737,4.2387,4.7932
198212,1.2842,0.7895,1.2557,1.8916,0.3307,1.8999
198301,9.1335,7.1235,6.1834,2.8129,4.5524,2.6643
198302,5.2869,5.4874,6.0199,4.6529,2.271,2.8807
198303,4.3231,4.9905,4.3744,3.9379,2.9639,3.5536
198304,8.2392,7.047,8.185,7.4312,7.0615,7.2721
198305,8.671,5.5719,5.754,1.1355,-0.9127,0.3718
198306,4.3706,4.4083,4.9943,0.5206,3.6246,5.0886
198307,-4.0839,-1.4575,-2.5279,-2.266,-3.2477,-4.1023
198308,-4.2468,-2.4279,-3.1172,0.4304,2.0318,0.3242
198309,-0.752,3.5311,2.0266,2.0289,1.5724,1.7343
198310,-6.6681,-4.3839,-6.9076,-0.9733,-1.8467,-2.2715
198311,3.8154,4.8991,4.7333,4.3559,2.1812,2.1044
198312,-1.9639,-1.3274,-1.5694,-2.4917,-1.3366,0.3872
198401,-0.2175,-1.4828,-2.1932,-2.7153,0.8272,-2.525
198402,-5.7551,-4.8281,-5.7518,-5.453,-3.1023,-3.6615
198403,0.9556,0.9809,1.068,3.2806,0.6131,1.2474
198404,-2.1641,-0.1344,0.3961,-3.2258,1.974,0.8853
198405,-6.3078,-4.5141,-4.9198,-7.441,-4.9431,-4.1137
198406,1.2839,2.8168,4.2114,-0.036,3.6952,3.3705
198407,-6.7793,-3.5374,-2.6247,-3.5805,-1.9471,-0.6404
198408,11.5383,11.4654,11.9236,12.8783,10.9929,11.1271
198409,-1.7798,0.1383,-0.0431,-0.7076,-0.224,0.2988
198410,-2.5046,-1.0364,-0.1935,0.8334,-0.3246,0.8778
198411,-4.215,-1.6135,-1.0919,0.0745,-0.5474,-1.6021
198412,0.4642,2.3295,2.7509,2.5004,2.2976,2.8372
198501,13.4612,11.2074,12.0017,8.7605,7.4483,8.4418
198502,2.736,2.3933,3.1594,0.0881,1.6319,2.2408
198503,-3.5561,-0.811,-1.0892,-0.3612,0.4288,-0.3621
198504,-2.0335,-1.012,0.962,-0.6917,0.0638,-0.5783
198505,2.3446,3.8999,5.1254,6.1709,6.2231,6.0515
198506,-0.6913,2.1826,3.8174,2.095,2.0841,1.104
198507,2.8294,1.9027,2.4773,-0.2126,-0.6854,-0.6972
198508,-1.017,-0.5963,-0.9407,-0.334,-0.2638,-0.6017
198509,-6.6734,-4.6907,-5.6222,-4.5086,-3.5353,-3.2789
198510,2.1438,3.799,4.0647,5.192,4.588,5.0605
198511,6.8408,6.8338,7.9839,7.2213,7.4423,6.7419
198512,3.6195,4.45,4.6508,3.9915,4.6659,4.9433
198601,2.2729,1.1328,2.8864,4.4827,0.4416,-0.1339
198602,5.5746,6.9585,8.6183,8.6043,7.635,7.6846
198603,3.8924,5.5397,4.606,4.8452,4.9941,6.5449
198604,1.0294,1.7612,2.2061,-4.8734,-0.6565,-0.2277
198605,2.543,4.44,5.0952,4.4329,4.9645,6.1421
198606,-0.9116,0.9857,1.2771,0.3813,2.3112,1.7946
198607,-10.4439,-7.8373,-9.2056,-4.4065,-4.1917,-6.7249
198608,3.0552,4.2395,2.0453,8.8071,7.2803,6.4972
198609,-6.107,-5.7251,-6.8695,-8.7709,-8.7282,-8.1688
198610,3.0147,3.0754,4.1002,5.9254,6.3852,4.7379
198611,-0.8396,0.4045,0.0504,0.8059,2.2671,2.0861
198612,-3.7358,-2.4232,-2.4011,-3.0211,-2.6059,-2.7767
198701,11.2765,11.7768,11.6101,13.4368,12.3171,13.4495
198702,8.6405,6.4832,8.2653,5.6792,3.4573,4.5295
198703,2.6201,3.0445,1.7769,0.0944,1.0956,3.6551
198704,-1.6208,-3.8382,-3.0977,-1.4636,-2.159,-0.9664
198705,0.0466,0.2524,-0.4318,-0.728,1.0982,0.7776
198706,1.1171,3.0106,3.0076,3.8168,4.7689,5.3204
198707,3.1391,3.6642,2.9632,6.2718,3.1008,5.2361
198708,1.7539,3.381,4.4165,3.2823,4.0163,4.6935
198709,-1.7273,-1.9906,-1.7624,-0.6816,-2.2756,-2.5882
198710,-32.0418,-27.7835,-29.7264,-23.6169,-20.2954,-21.848
198711,-5.2627,-3.4095,-6.2652,-5.8082,-7.6181,-8.5733
198712,5.4017,7.3151,9.2994,5.8339,7.1137,7.85
198801,4.489,5.2461,2.5274,4.5211,4.9591,4.2095
198802,6.9335,8.4832,8.8415,4.0361,4.4839,5.2415
198803,4.1379,2.6593,4.6178,-2.1461,-2.5473,-3.1246
198804,2.2765,1.9304,1.7569,0.0156,1.7769,0.1286
198805,-1.662,-1.48,-2.5513,1.1325,0.6755,0.5404
198806,5.8121,7.6601,7.5878,4.2553,4.8052,5.4272
198807,-0.8038,-1.2096,-1.1142,-0.1898,-0.5922,-1.0457
198808,-3.2405,-2.023,-2.9376,-1.0214,-2.9783,-2.9605
198809,1.7196,3.4192,2.9593,3.2775,3.1054,5.5557
198810,-1.4004,-0.1279,-0.8652,0.4914,2.4745,2.5509
198811,-3.1038,-2.4586,-3.4981,-1.4935,-1.3544,-1.6686
198812,3.9915,3.5338,4.0774,0.9603,1.9303,2.2632
198901,5.8921,4.2484,3.8193,7.0009,6.4849,7.1767
198902,0.851,1.2524,0.3045,-0.8156,-2.4618,-2.01
198903,3.0446,2.9685,2.6686,2.5737,1.2344,3.0408
198904,3.9109,4.5074,5.2375,5.3998,4.8618,5.4995
198905,3.8858,4.047,4.7959,4.2767,3.9295,4.337
198906,-2.6807,-1.03,-1.6543,-0.5063,0.0326,-0.9918
198907,3.5331,4.5338,4.2784,6.2867,8.0471,9.508
198908,2.2682,2.2131,3.6761,2.7695,1.8086,2.1345
198909,-0.5259,0.7525,1.1772,-0.5178,-0.7685,0.5821
198910,-5.9933,-5.3723,-5.2918,-2.392,-2.0967,-2.8684
198911,0.3416,1.0594,0.5185,2.8188,2.4888,0.9301
198912,-0.3371,0.1094,0.0742,1.6452,3.274,1.0899
199001,-7.7719,-8.1288,-9.6623,-6.9354,-6.833,-7.3779
199002,2.8937,2.5705,3.0871,1.6453,1.5388,1.384
199003,2.9784,4.0753,4.6307,0.6825,2.0494,3.1081
199004,-3.3345,-3.1609,-2.9383,-4.807,-2.8953,-1.6523
199005,6.3358,7.1802,7.8293,8.559,8.7913,10.2137
199006,1.6003,0.7803,-0.2234,0.2551,-1.4726,0.0089
199007,-4.3182,-3.2715,-4.2021,-1.1788,0.1078,-1.6478
199008,-13.6141,-11.6598,-14.4163,-9.5025,-8.5669,-9.407
199009,-9.3516,-7.8651,-10.2539,-6.8613,-3.6886,-5.8447
199010,-7.9377,-4.5775,-5.1212,-2.8609,-0.773,0.2707
199011,5.7674,7.5132,8.4751,8.5126,6.187,7.1143
199012,1.4863,3.9927,5.4626,2.3544,2.3538,3.8371
199101,8.1517,8.5323,9.6383,4.7002,3.9147,5.7703
199102,12.4667,9.5933,11.2829,7.3675,6.2404,8.1543
199103,7.5768,6.1986,6.3259,3.4393,1.6141,3.6216
199104,-0.1172,0.9836,1.0796,0.4208,-0.0954,0.4643
199105,3.241,4.1816,4.9768,2.8164,3.3662,5.0876
199106,-5.5896,-4.1938,-3.3004,-5.6404,-4.4515,-4.3482
199107,3.2921,3.4803,4.729,3.8472,3.9213,5.6187
199108,4.6399,3.0343,4.1489,1.7184,1.2007,3.8896
199109,1.2911,0.3282,-0.2854,-0.0565,-0.5574,-2.1186
199110,4.3681,2.1389,2.0244,2.5845,1.2055,1.5299
199111,-6.0869,-3.7155,-4.2694,-3.3731,-4.5448,-2.9671
199112,7.5201,8.0972,10.0719,8.3581,10.3128,12.9148
199201,9.7921,7.0705,8.1967,-0.4887,-1.4877,-1.5375
199202,2.4254,2.1006,4.2569,2.2263,1.732,0.5459
199203,-3.9873,-1.9754,-3.8289,-2.0249,-1.9728,-2.2084
199204,-5.7167,-1.9217,-2.7928,1.121,3.61,1.5796
199205,1.5866,0.768,-0.8815,0.2002,0.5174,0.7761
199206,-4.7726,-3.5937,-4.3658,-2.3156,0.0301,-2.8223
199207,2.7855,3.4169,4.0132,2.9648,4.3615,4.3333
199208,-5.4209,-2.2558,-1.5049,-4.9227,-1.9689,-1.4051
199209,0.0655,2.4008,3.0754,1.2447,0.9113,1.5245
199210,2.6517,2.9166,4.3884,1.1809,-0.4923,1.9174
199211,8.803,7.1569,8.4197,5.4639,2.3491,4.4785
199212,2.6233,3.772,3.6374,3.5164,1.0387,1.534
199301,2.6633,3.8321,3.4264,4.3049,1.0569,-0.1475
199302,-3.5291,-1.8464,-2.6079,1.1647,2.9262,-0.593
199303,1.5574,3.0959,3.584,4.2799,2.4951,1.9554
199304,-2.3639,-2.8766,-3.8174,1.1335,-1.3438,-4.6347
199305,5.5471,4.1631,5.0872,3.1102,2.2445,3.3232
199306,1.1163,0.361,1.0597,2.0387,0.1623,0.2471
199307,0.2757,1.3057,0.6321,2.0944,0.9618,-2.0046
199308,4.5403,4.049,4.0481,5.9274,3.4929,3.3317
199309,2.9303,2.3431,3.1404,-0.5358,-0.1517,-0.2597
199310,4.3705,1.5636,3.309,-0.1637,1.1716,2.0378
199311,-3.5152,-2.2472,-2.824,-3.8181,-1.8844,-0.0436
199312,1.4343,4.0305,4.0134,1.479,2.3038,1.2205
199401,4.2806,2.386,2.3494,4.2035,3.1825,2.816
199402,-1.7341,0.837,0.0363,-4.5067,-2.7543,-1.999
199403,-6.3074,-5.0286,-5.0783,-4.4991,-4.1137,-4.354
199404,-0.9117,0.7752,0.2079,0.3771,1.2277,1.4055
199405,-1.6873,-1.4577,-1.5685,0.8376,0.7741,1.923
